label,text
Positive,"Permohonan ini juga bertujuan memohon penjelasan CRCC, sama ada syarikat berkenaan adalah pemegang saham bagi syarikat tujuan khas (SPV) bagi projek berkenaan"
Positive,Projek ini bukti komitmen berterusan kerajaan Barisan Nasional (BN) pada peringkat Persekutuan dan negeri untuk menjaga kebajikan rakyat di Melaka
Positive,"Menerusi pembentangan Bajet 2018 yang lalu, kerajaan menyediakan peruntukan mencukupi bagi mempromosi dan meningkatkan kemudahan pelancongan di negara ini."
Neutral,"Berdasarkan kualiti jawapan calon, 27 peratus calon menguasai KBAT pada tahap tinggi, 39 peratus pada tahap sederhana dan 34 peratus pada tahap rendah"
Positive,"Pada masa sama, kerajaan negeri juga telah buat bayaran sebanyak RM700 kepada lebih 50,000 mangsa banjir."
Positive,"Kita bawa pembangunan, bukan sahaja untuk Sabah tetapi ke seluruh Malaysia"
Positive,"Harapan kita agar isu berkaitan golongan muda seperti pekerjaan, pendidikan dan perumahan diberi perhatian dalam manifesto yang bakal diumumkan itu."
Neutral,Kesan daripada penyemakan ini antaranya membabitkan pertukaran perkataan ordinan kepada akta
Positive,"Kalau dah bersara dan tiada kaitan lagi dengan Felda, kami akan gunakan tindakan sivil ke atas mereka"
Positive,Kesediaan negara-negara ITRC untuk mematuhi kouta yang diperuntukkan adalah penting bagi memastikan mekanisme ini dapat memberikan impak positif terhadap harga pasaran getah asli global
Negative,"Apa yang menjadi masalah kita, apabila masyarakat gemar berkongsi maklumat mereka kepada pihak lain. "
Neutral,Kami adalah parti baru
Negative,Jabatan Kehakiman (DOJ) Amerika Syarikat sebelum ini juga turut mendakwa pelbagai aset mewah dibeli menggunakan wang dicuri daripada 1MDB berjumlah AS$540 juta
Positive,"Sesiapa saja datang kita alu-alukan dan kita tidak ada halangan, kerana ini adalah negara yang mengamalkan demokrasi cuma yang seperti saya katakan dulu budaya yang sentiasa dipelihara sejak dahulu adalah mengutamakan rakyat"
Neutral,Tapi mereka ada ahli Melayu yang pernah bertanding di Teluk Intan dan pernah menang di Raub.
Positive,Itu pun kita iktiraf sama ada mereka berada di negara ini sebelum merdeka ataupun selepas merdeka.
Positive,"Malah, turut membantu individu yang dijangkiti HIV untuk mendapatkan rawatan yang baik."
Positive,Kerajaan perlu lebih serius dalam membangunkan sesetengah peralatan ketenteraan kita bagi mengurangkan kebergantungan kepada pembelian luar
Neutral,"Selepas kita periksa, kita tengok ada 2 mesin potong kayu."
Positive,Saya menasihatkan jika ada peresapan air maka laluannya perlu diubah
Positive,"Sebelum mana-mana keputusan pelaburan dibuat, proses tadbir urus kami memerlukan semua cadangan yang tertakluk kepada penilaian risiko ketat dan kajian terperinci oleh pengurusan."
Positive,"Di dalam aplikasi ini rakyat boleh mencari lokasi pasar tani di kawasan mereka, waktu operasi, harga semasa barangan serta mereka boleh memberi pandangan atau komen berkenaan pasar tani terlibat,"
Negative,"Ironinya, penuntut universiti yang tanpa sebarang paksaan hadir ke program pro pembangkang dihalang, malah tindakan disiplin diambil."
Negative,Masyarakat Orang Asli Temiar tidak harus dianggap atau dilayan seperti penjenayah atau orang jahat kerana mereka hanya melindungi hak sebagai rakyat Malaysia secara sah
Positive,Perdana Menteri juga sudah memberi penjelasan tentang isu berkenaan dalam kenyataannya dan pihak kerajaan menerima baik penjelasan itu.
Positive,Lebih 26 juta pelancong asing juga datang ke Malaysia pada 2016 dan ini dijangka meningkat kepada 30 juta menjelang 2020
Positive,Ini masa untuk kita memudahkan rakyat.
Positive,"Saya akui dia pernah menolong saya dan keluarga yang kononnya berjumlah RM25,000 tetapi sebenarnya tidak sampai jumlah itu."
Positive,"Jadi, kita sediakan peraturan baharu untuk mereka bersara dan hidup dengan selesa."
